,Day,Year,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,EOD,Direction
331,89,2002,3.75,-0.302,-1.934,-1.026,-0.175,1.502,-1.455,Down
332,90,2002,-1.455,3.75,-0.302,-1.934,-1.026,1.153,-1.679,Down
333,91,2002,-1.679,-1.455,3.75,-0.302,-1.934,1.1719,1.855,Up
334,92,2002,1.855,-1.679,-1.455,3.75,-0.302,1.0886,2.114,Up
335,93,2002,2.114,1.855,-1.679,-1.455,3.75,1.4145,-0.566,Down
336,94,2002,-0.566,2.114,1.855,-1.679,-1.455,1.4202,0.656,Up
337,95,2002,0.656,-0.566,2.114,1.855,-1.679,1.2566,0.761,Up
338,96,2002,0.761,0.656,-0.566,2.114,1.855,1.2744,-1.329,Down
339,97,2002,-1.329,0.761,0.656,-0.566,2.114,0.9898,-1.099,Down
340,98,2002,-1.099,-1.329,0.761,0.656,-0.566,1.2005,0.569,Up
341,99,2002,0.569,-1.099,-1.329,0.761,0.656,1.1363,1.018,Up
342,100,2002,1.018,0.569,-1.099,-1.329,0.761,1.1929,-1.209,Down
343,101,2002,-1.209,1.018,0.569,-1.099,-1.329,0.8854,-0.855,Down
344,102,2002,-0.855,-1.209,1.018,0.569,-1.099,0.9965,-0.641,Down
345,103,2002,-0.641,-0.855,-1.209,1.018,0.569,1.0818,-0.281,Down
346,104,2002,-0.281,-0.641,-0.855,-1.209,1.018,1.2866,0.233,Up
347,105,2002,0.233,-0.281,-0.641,-0.855,-1.209,1.2773,-2.48,Down
348,106,2002,-2.48,0.233,-0.281,-0.641,-0.855,1.3243,0.001,Up
349,107,2002,0.001,-2.48,0.233,-0.281,-0.641,1.4666,0.885,Up
350,108,2002,0.885,0.001,-2.48,0.233,-0.281,1.3001,-1.976,Down
351,109,2002,-1.976,0.885,0.001,-2.48,0.233,1.6015,-0.157,Down
352,110,2002,-0.157,-1.976,0.885,0.001,-2.48,1.3413,0.312,Up
353,111,2002,0.312,-0.157,-1.976,0.885,0.001,1.2262,-1.663,Down
354,112,2002,-1.663,0.312,-0.157,-1.976,0.885,1.2124,0.657,Up
355,113,2002,0.657,-1.663,0.312,-0.157,-1.976,1.79572,-1.049,Down
356,114,2002,-1.049,0.657,-1.663,0.312,-0.157,1.4055,-0.227,Down
357,115,2002,-0.227,-1.049,0.657,-1.663,0.312,1.549,2.869,Up
358,116,2002,2.869,-0.227,-1.049,0.657,-1.663,1.2366,0.094,Up
359,117,2002,0.094,2.869,-0.227,-1.049,0.657,1.1931,-1.654,Down
360,118,2002,-1.654,0.094,2.869,-0.227,-1.049,1.3361,-1.343,Down
361,119,2002,-1.343,-1.654,0.094,2.869,-0.227,1.3897,-1.704,Down
362,120,2002,-1.704,-1.343,-1.654,0.094,2.869,1.4972,0.362,Up
363,121,2002,0.362,-1.704,-1.343,-1.654,0.094,1.5526,-1.67,Down
364,122,2002,-1.67,0.362,-1.704,-1.343,-1.654,1.5137,-0.267,Down
365,123,2002,-0.267,-1.67,0.362,-1.704,-1.343,2.01429,1.758,Up
366,124,2002,1.758,-0.267,-1.67,0.362,-1.704,1.9086,-0.083,Down
367,125,2002,-0.083,1.758,-0.267,-1.67,0.362,2.117,-2.139,Down
368,126,2002,-2.139,-0.083,1.758,-0.267,-1.67,1.4255,-2.123,Down
369,127,2002,-2.123,-2.139,-0.083,1.758,-0.267,1.823,0.622,Up
370,128,2002,0.622,-2.123,-2.139,-0.083,1.758,1.5278,3.673,Up
371,129,2002,3.673,0.622,-2.123,-2.139,-0.083,0.6994,-1.218,Down
372,130,2002,-1.218,3.673,0.622,-2.123,-2.139,1.1844,-2.472,Down
373,131,2002,-2.472,-1.218,3.673,0.622,-2.123,1.3489,-3.396,Down
374,132,2002,-3.396,-2.472,-1.218,3.673,0.622,1.8169,0.75,Up
375,133,2002,0.75,-3.396,-2.472,-1.218,3.673,2.08048,-0.645,Down
376,134,2002,-0.645,0.75,-3.396,-2.472,-1.218,1.6074,-0.376,Down
377,135,2002,-0.376,-0.645,0.75,-3.396,-2.472,2.5748,-1.851,Down
378,136,2002,-1.851,-0.376,-0.645,0.75,-3.396,1.8437,0.566,Up
379,137,2002,0.566,-1.851,-0.376,-0.645,0.75,2.5665,-2.702,Down
380,138,2002,-2.702,0.566,-1.851,-0.376,-0.645,1.7363,-3.835,Down
381,139,2002,-3.835,-2.702,0.566,-1.851,-0.376,2.6541,-3.291,Down
382,140,2002,-3.291,-3.835,-2.702,0.566,-1.851,2.24806,-2.702,Down
383,141,2002,-2.702,-3.291,-3.835,-2.702,0.566,2.44102,5.733,Up
384,142,2002,5.733,-2.702,-3.291,-3.835,-2.702,2.77556,-0.563,Down
385,143,2002,-0.563,5.733,-2.702,-3.291,-3.835,2.4247,1.688,Up
386,144,2002,1.688,-0.563,5.733,-2.702,-3.291,1.7961,5.408,Up
387,145,2002,5.408,1.688,-0.563,5.733,-2.702,1.77865,0.425,Up
388,146,2002,0.425,5.408,1.688,-0.563,5.733,1.82609,0.979,Up
389,147,2002,0.979,0.425,5.408,1.688,-0.563,2.04936,-2.957,Down
390,148,2002,-2.957,0.979,0.425,5.408,1.688,1.6722,-2.308,Down
391,149,2002,-2.308,-2.957,0.979,0.425,5.408,1.5381,-3.43,Down
392,150,2002,-3.43,-2.308,-2.957,0.979,0.425,1.4255,2.992,Up
393,151,2002,2.992,-3.43,-2.308,-2.957,0.979,1.5141,2.001,Up
394,152,2002,2.001,2.992,-3.43,-2.308,-2.957,1.4904,3.272,Up
395,153,2002,3.272,2.001,2.992,-3.43,-2.308,1.6467,0.351,Up
396,154,2002,0.351,3.272,2.001,2.992,-3.43,1.2949,-0.533,Down
397,155,2002,-0.533,0.351,3.272,2.001,2.992,1.0365,-2.168,Down
398,156,2002,-2.168,-0.533,0.351,3.272,2.001,1.2977,4.005,Up
399,157,2002,4.005,-2.168,-0.533,0.351,3.272,1.5338,1.156,Up
400,158,2002,1.156,4.005,-2.168,-0.533,0.351,1.5051,-0.159,Down
401,159,2002,-0.159,1.156,4.005,-2.168,-0.533,1.2653,2.361,Up
402,160,2002,2.361,-0.159,1.156,4.005,-2.168,1.2998,-1.396,Down
403,161,2002,-1.396,2.361,-0.159,1.156,4.005,1.3085,1.273,Up
404,162,2002,1.273,-1.396,2.361,-0.159,1.156,1.3531,1.405,Up
405,163,2002,1.405,1.273,-1.396,2.361,-0.159,1.373,-2.269,Down
406,164,2002,-2.269,1.405,1.273,-1.396,2.361,1.0715,0.754,Up
407,165,2002,0.754,-2.269,1.405,1.273,-1.396,1.0169,-1.385,Down
408,166,2002,-1.385,0.754,-2.269,1.405,1.273,1.3077,-1.813,Down
409,167,2002,-1.813,-1.385,0.754,-2.269,1.405,1.1466,-0.008,Down
410,168,2002,-0.008,-1.813,-1.385,0.754,-2.269,1.2711,-0.188,Down
411,169,2002,-0.188,-0.008,-1.813,-1.385,0.754,0.9299,-4.154,Down
412,170,2002,-4.154,-0.188,-0.008,-1.813,-1.385,1.2898,1.752,Up
413,171,2002,1.752,-4.154,-0.188,-0.008,-1.813,1.3721,-1.595,Down
414,172,2002,-1.595,1.752,-4.154,-0.188,-0.008,1.4013,1.68,Up
415,173,2002,1.68,-1.595,1.752,-4.154,-0.188,1.1845,1.011,Up
416,174,2002,1.011,1.68,-1.595,1.752,-4.154,1.1306,0.733,Up
417,175,2002,0.733,1.011,1.68,-1.595,1.752,1.1864,-0.014,Down
418,176,2002,-0.014,0.733,1.011,1.68,-1.595,0.8466,-2.478,Down
419,177,2002,-2.478,-0.014,0.733,1.011,1.68,1.1916,0.327,Up
420,178,2002,0.327,-2.478,-0.014,0.733,1.011,1.271,0.145,Up
421,179,2002,0.145,0.327,-2.478,-0.014,0.733,1.0014,-1.973,Down
422,180,2002,-1.973,0.145,0.327,-2.478,-0.014,1.4486,-0.465,Down
423,181,2002,-0.465,-1.973,0.145,0.327,-2.478,1.501,-3.006,Down
424,182,2002,-3.006,-0.465,-1.973,0.145,0.327,1.524,0.245,Up
425,183,2002,0.245,-3.006,-0.465,-1.973,0.145,1.7928,-1.383,Down
426,184,2002,-1.383,0.245,-3.006,-0.465,-1.973,1.3811,-1.728,Down
427,185,2002,-1.728,-1.383,0.245,-3.006,-0.465,1.67024,2.486,Up
428,186,2002,2.486,-1.728,-1.383,0.245,-3.006,1.6515,1.821,Up
429,187,2002,1.821,2.486,-1.728,-1.383,0.245,1.65,-3.226,Down
430,188,2002,-3.226,1.821,2.486,-1.728,-1.383,1.5073,-1.461,Down
431,189,2002,-1.461,-3.226,1.821,2.486,-1.728,1.72187,4.002,Up
432,190,2002,4.002,-1.461,-3.226,1.821,2.486,1.7809,-2.359,Down
433,191,2002,-2.359,4.002,-1.461,-3.226,1.821,1.6689,-1.082,Down
434,192,2002,-1.082,-2.359,4.002,-1.461,-3.226,1.6745,-2.243,Down
435,193,2002,-2.243,-1.082,-2.359,4.002,-1.461,1.83593,-1.911,Down
436,194,2002,-1.911,-2.243,-1.082,-2.359,4.002,1.5765,1.69,Up
437,195,2002,1.69,-1.911,-2.243,-1.082,-2.359,1.93843,-2.729,Down
438,196,2002,-2.729,1.69,-1.911,-2.243,-1.082,1.88503,3.497,Up
439,197,2002,3.497,-2.729,1.69,-1.911,-2.243,2.09023,3.906,Up
440,198,2002,3.906,3.497,-2.729,1.69,-1.911,1.85413,0.733,Up
441,199,2002,0.733,3.906,3.497,-2.729,1.69,1.2003,4.734,Up
442,200,2002,4.734,0.733,3.906,3.497,-2.729,1.956,-2.411,Down
443,201,2002,-2.411,4.734,0.733,3.906,3.497,1.585,2.23,Up
444,202,2002,2.23,-2.411,4.734,0.733,3.906,1.78039,0.59,Up
445,203,2002,0.59,2.23,-2.411,4.734,0.733,1.4231,1.733,Up
446,204,2002,1.733,0.59,2.23,-2.411,4.734,1.447,-1.063,Down
447,205,2002,-1.063,1.733,0.59,2.23,-2.411,1.5492,0.672,Up
448,206,2002,0.672,-1.063,1.733,0.59,2.23,1.5939,-1.522,Down
449,207,2002,-1.522,0.672,-1.063,1.733,0.59,1.70057,1.717,Up
450,208,2002,1.717,-1.522,0.672,-1.063,1.733,1.3404,-0.827,Down
451,209,2002,-0.827,1.717,-1.522,0.672,-1.063,1.3826,-0.908,Down
452,210,2002,-0.908,-0.827,1.717,-1.522,0.672,1.5297,0.97,Up
453,211,2002,0.97,-0.908,-0.827,1.717,-1.522,1.4223,-0.556,Down
454,212,2002,-0.556,0.97,-0.908,-0.827,1.717,1.6413,1.716,Up
455,213,2002,1.716,-0.556,0.97,-0.908,-0.827,1.4504,0.82,Up
456,214,2002,0.82,1.716,-0.556,0.97,-0.908,1.6459,0.775,Up
457,215,2002,0.775,0.82,1.716,-0.556,0.97,1.3541,0.914,Up
458,216,2002,0.914,0.775,0.82,1.716,-0.556,1.674,-2.285,Down
459,217,2002,-2.285,0.914,0.775,0.82,1.716,1.4669,-0.876,Down
460,218,2002,-0.876,-2.285,0.914,0.775,0.82,1.4465,-2.073,Down
461,219,2002,-2.073,-0.876,-2.285,0.914,0.775,1.113,0.772,Up
462,220,2002,0.772,-2.073,-0.876,-2.285,0.914,1.3771,-0.048,Down
463,221,2002,-0.048,0.772,-2.073,-0.876,-2.285,1.4634,2.463,Up
464,222,2002,2.463,-0.048,0.772,-2.073,-0.876,1.519,0.615,Up
465,223,2002,0.615,2.463,-0.048,0.772,-2.073,1.4001,-1.041,Down
466,224,2002,-1.041,0.615,2.463,-0.048,0.772,1.2826,-0.402,Down
467,225,2002,-0.402,-1.041,0.615,2.463,-0.048,1.3374,1.941,Up
468,226,2002,1.941,-0.402,-1.041,0.615,2.463,1.5173,2.145,Up
469,227,2002,2.145,1.941,-0.402,-1.041,0.615,2.4151,-0.344,Down
470,228,2002,-0.344,2.145,1.941,-0.402,-1.041,1.6268,0.249,Up
471,229,2002,0.249,-0.344,2.145,1.941,-0.402,1.574,-2.097,Down
472,230,2002,-2.097,0.249,-0.344,2.145,1.941,1.5436,2.799,Up
473,231,2002,2.799,-2.097,0.249,-0.344,2.145,1.3503,-0.273,Down
474,232,2002,-0.273,2.799,-2.097,0.249,-0.344,0.64346,-0.19,Down
475,233,2002,-0.19,-0.273,2.799,-2.097,0.249,1.612,-1.475,Down
476,234,2002,-1.475,-0.19,-0.273,2.799,-2.097,1.4884,-0.344,Down
477,235,2002,-0.344,-1.475,-0.19,-0.273,2.799,1.5889,-1.202,Down
478,236,2002,-1.202,-0.344,-1.475,-0.19,-0.273,1.2502,0.627,Up
479,237,2002,0.627,-1.202,-0.344,-1.475,-0.19,1.2411,-2.218,Down
480,238,2002,-2.218,0.627,-1.202,-0.344,-1.475,1.3208,1.396,Up
481,239,2002,1.396,-2.218,0.627,-1.202,-0.344,1.2866,0.056,Up
482,240,2002,0.056,1.396,-2.218,0.627,-1.202,1.2851,-0.373,Down
483,241,2002,-0.373,0.056,1.396,-2.218,0.627,1.2553,-1.342,Down
484,242,2002,-1.342,-0.373,0.056,1.396,-2.218,1.3308,2.352,Up
485,243,2002,2.352,-1.342,-0.373,0.056,1.396,1.2716,-0.814,Down
486,244,2002,-0.814,2.352,-1.342,-0.373,0.056,1.2518,-1.315,Down
487,245,2002,-1.315,-0.814,2.352,-1.342,-0.373,1.4462,-0.771,Down
488,246,2002,-0.771,-1.315,-0.814,2.352,-1.342,1.3859,1.302,Up
489,247,2002,1.302,-0.771,-1.315,-0.814,2.352,1.78273,0.181,Up
490,248,2002,0.181,1.302,-0.771,-1.315,-0.814,1.1121,-0.547,Down
491,249,2002,-0.547,0.181,1.302,-0.771,-1.315,0.45831,-0.315,Down
492,250,2002,-0.315,-0.547,0.181,1.302,-0.771,0.7211,-1.603,Down
493,251,2002,-1.603,-0.315,-0.547,0.181,1.302,0.7584,0.456,Up
494,252,2002,0.456,-1.603,-0.315,-0.547,0.181,1.0578,0.049,Up
495,1,2003,0.049,0.456,-1.603,-0.315,-0.547,1.0885,3.32,Up
496,2,2003,3.32,0.049,0.456,-1.603,-0.315,1.2292,-0.048,Down
497,3,2003,-0.048,3.32,0.049,0.456,-1.603,1.1308,2.247,Up
498,4,2003,2.247,-0.048,3.32,0.049,0.456,1.4359,-0.654,Down
499,5,2003,-0.654,2.247,-0.048,3.32,0.049,1.5452,-1.409,Down
500,6,2003,-1.409,-0.654,2.247,-0.048,3.32,1.4676,1.939,Up
501,7,2003,1.939,-1.409,-0.654,2.247,-0.048,1.5603,0,Up
502,8,2003,0,1.939,-1.409,-0.654,2.247,1.4854,-0.141,Down
503,9,2003,-0.141,0,1.939,-1.409,-0.654,1.3963,0.583,Up
504,10,2003,0.583,-0.141,0,1.939,-1.409,1.3794,-1.443,Down
505,11,2003,-1.443,0.583,-0.141,0,1.939,1.4321,-0.394,Down
506,12,2003,-0.394,-1.443,0.583,-0.141,0,1.5346,-1.402,Down
507,13,2003,-1.402,-0.394,-1.443,0.583,-0.141,1.3582,-1.57,Down
508,14,2003,-1.57,-1.402,-0.394,-1.443,0.583,1.3352,-1.043,Down
509,15,2003,-1.043,-1.57,-1.402,-0.394,-1.443,1.5608,1.022,Up
510,16,2003,1.022,-1.043,-1.57,-1.402,-0.394,1.74455,-2.923,Down
511,17,2003,-2.923,1.022,-1.043,-1.57,-1.402,1.5748,-1.616,Down
512,18,2003,-1.616,-2.923,1.022,-1.043,-1.57,1.4359,1.305,Up
513,19,2003,1.305,-1.616,-2.923,1.022,-1.043,1.4591,0.678,Up
514,20,2003,0.678,1.305,-1.616,-2.923,1.022,1.5954,-2.285,Down
515,21,2003,-2.285,0.678,1.305,-1.616,-2.923,1.5103,1.313,Up
516,22,2003,1.313,-2.285,0.678,1.305,-1.616,1.57853,0.54,Up
517,23,2003,0.54,1.313,-2.285,0.678,1.305,1.2585,-1.409,Down
518,24,2003,-1.409,0.54,1.313,-2.285,0.678,1.4516,-0.544,Down
519,25,2003,-0.544,-1.409,0.54,1.313,-2.285,1.4508,-0.645,Down
520,26,2003,-0.645,-0.544,-1.409,0.54,1.313,1.4309,-1.009,Down
521,27,2003,-1.009,-0.645,-0.544,-1.409,0.54,1.2768,0.757,Up
522,28,2003,0.757,-1.009,-0.645,-0.544,-1.409,1.2382,-0.81,Down
523,29,2003,-0.81,0.757,-1.009,-0.645,-0.544,1.307,-1.269,Down
524,30,2003,-1.269,-0.81,0.757,-1.009,-0.645,1.2605,-0.16,Down
525,31,2003,-0.16,-1.269,-0.81,0.757,-1.009,1.4893,2.143,Up
526,32,2003,2.143,-0.16,-1.269,-0.81,0.757,1.4046,1.95,Up
527,33,2003,1.95,2.143,-0.16,-1.269,-0.81,1.2508,-0.71,Down
528,34,2003,-0.71,1.95,2.143,-0.16,-1.269,1.0756,-0.95,Down
529,35,2003,-0.95,-0.71,1.95,2.143,-0.16,1.1941,1.322,Up
530,36,2003,1.322,-0.95,-0.71,1.95,2.143,1.3982,-1.838,Down
531,37,2003,-1.838,1.322,-0.95,-0.71,1.95,1.2292,0.719,Up
532,38,2003,0.719,-1.838,1.322,-0.95,-0.71,1.4837,-1.314,Down
533,39,2003,-1.314,0.719,-1.838,1.322,-0.95,1.3744,1.176,Up
534,40,2003,1.176,-1.314,0.719,-1.838,1.322,1.2878,0.462,Up
535,41,2003,0.462,1.176,-1.314,0.719,-1.838,1.3733,-0.754,Down
536,42,2003,-0.754,0.462,1.176,-1.314,0.719,1.2089,-1.536,Down
537,43,2003,-1.536,-0.754,0.462,1.176,-1.314,1.2566,0.956,Up
538,44,2003,0.956,-1.536,-0.754,0.462,1.176,1.3327,-0.934,Down
539,45,2003,-0.934,0.956,-1.536,-0.754,0.462,1.2992,0.826,Up
540,46,2003,0.826,-0.934,0.956,-1.536,-0.754,1.3685,-2.583,Down
541,47,2003,-2.583,0.826,-0.934,0.956,-1.536,1.255,-0.836,Down
542,48,2003,-0.836,-2.583,0.826,-0.934,0.956,1.4277,0.432,Up
543,49,2003,0.432,-0.836,-2.583,0.826,-0.934,1.62,3.446,Up
544,50,2003,3.446,0.432,-0.836,-2.583,0.826,1.8163,0.165,Up
545,51,2003,0.165,3.446,0.432,-0.836,-2.583,1.5419,3.543,Up
546,52,2003,3.543,0.165,3.446,0.432,-0.836,1.70042,0.424,Up
547,53,2003,0.424,3.543,0.165,3.446,0.432,1.5551,0.874,Up
548,54,2003,0.874,0.424,3.543,0.165,3.446,1.4734,0.189,Up
549,55,2003,0.189,0.874,0.424,3.543,0.165,1.4391,2.298,Up
550,56,2003,2.298,0.189,0.874,0.424,3.543,1.88371,-3.523,Down
551,57,2003,-3.523,2.298,0.189,0.874,0.424,1.293,1.216,Up
552,58,2003,1.216,-3.523,2.298,0.189,0.874,1.3334,-0.548,Down
553,59,2003,-0.548,1.216,-3.523,2.298,0.189,1.3197,-0.164,Down
554,60,2003,-0.164,-0.548,1.216,-3.523,2.298,1.2329,-0.578,Down
555,61,2003,-0.578,-0.164,-0.548,1.216,-3.523,1.227,-1.774,Down
556,62,2003,-1.774,-0.578,-0.164,-0.548,1.216,1.4955,1.214,Up
557,63,2003,1.214,-1.774,-0.578,-0.164,-0.548,1.4616,2.612,Up
558,64,2003,2.612,1.214,-1.774,-0.578,-0.164,1.5898,-0.505,Down
559,65,2003,-0.505,2.612,1.214,-1.774,-0.578,1.3395,0.274,Up
560,66,2003,0.274,-0.505,2.612,1.214,-1.774,1.2412,0.123,Up
561,67,2003,0.123,0.274,-0.505,2.612,1.214,1.494,-0.186,Down
562,68,2003,-0.186,0.123,0.274,-0.505,2.612,1.2354,-1.4,Down
563,69,2003,-1.4,-0.186,0.123,0.274,-0.505,1.2937,0.646,Up
564,70,2003,0.646,-1.4,-0.186,0.123,0.274,1.2753,-0.376,Down
565,71,2003,-0.376,0.646,-1.4,-0.186,0.123,1.1416,1.95,Up
566,72,2003,1.95,-0.376,0.646,-1.4,-0.186,1.131,0.63,Up
567,73,2003,0.63,1.95,-0.376,0.646,-1.4,1.4602,-1.224,Down
568,74,2003,-1.224,0.63,1.95,-0.376,0.646,1.5876,1.554,Up
569,75,2003,1.554,-1.224,0.63,1.95,-0.376,1.4306,-0.176,Down
570,76,2003,-0.176,1.554,-1.224,0.63,1.95,1.1187,2.17,Up
571,77,2003,2.17,-0.176,1.554,-1.224,0.63,1.6312,0.839,Up
572,78,2003,0.839,2.17,-0.176,1.554,-1.224,1.6672,-0.826,Down
573,79,2003,-0.826,0.839,2.17,-0.176,1.554,1.6481,-1.385,Down
574,80,2003,-1.385,-0.826,0.839,2.17,-0.176,1.3358,1.783,Up
575,81,2003,1.783,-1.385,-0.826,0.839,2.17,1.273,0.328,Up
576,82,2003,0.328,1.783,-1.385,-0.826,0.839,1.5256,-0.1,Down
577,83,2003,-0.1,0.328,1.783,-1.385,-0.826,1.78851,-0.068,Down
578,84,2003,-0.068,-0.1,0.328,1.783,-1.385,1.3975,1.504,Up
579,85,2003,1.504,-0.068,-0.1,0.328,1.783,1.5543,-0.38,Down
580,86,2003,-0.38,1.504,-0.068,-0.1,0.328,1.4463,0.846,Up
581,87,2003,0.846,-0.38,1.504,-0.068,-0.1,1.6496,-0.51,Down
582,88,2003,-0.51,0.846,-0.38,1.504,-0.068,1.5319,-1.006,Down
583,89,2003,-1.006,-0.51,0.846,-0.38,1.504,1.3796,1.428,Up
584,90,2003,1.428,-1.006,-0.51,0.846,-0.38,1.3261,1.253,Up
585,91,2003,1.253,1.428,-1.006,-0.51,0.846,1.3788,-0.297,Down
586,92,2003,-0.297,1.253,1.428,-1.006,-0.51,1.4181,-0.32,Down
587,93,2003,-0.32,-0.297,1.253,1.428,-1.006,1.4018,0.787,Up
588,94,2003,0.787,-0.32,-0.297,1.253,1.428,1.5087,-0.25,Down
589,95,2003,-0.25,0.787,-0.32,-0.297,1.253,1.5055,-2.492,Down
590,96,2003,-2.492,-0.25,0.787,-0.32,-0.297,1.3757,-0.113,Down
591,97,2003,-0.113,-2.492,-0.25,0.787,-0.32,1.5053,0.401,Up
592,98,2003,0.401,-0.113,-2.492,-0.25,0.787,1.4578,0.915,Up
593,99,2003,0.915,0.401,-0.113,-2.492,-0.25,1.4485,0.145,Up
594,100,2003,0.145,0.915,0.401,-0.113,-2.492,1.201,1.957,Up
595,101,2003,1.957,0.145,0.915,0.401,-0.113,1.532,0.183,Up
596,102,2003,0.183,1.957,0.145,0.915,0.401,1.559,-0.376,Down
597,103,2003,-0.376,0.183,1.957,0.145,0.915,1.6858,1.469,Up
598,104,2003,1.469,-0.376,0.183,1.957,0.145,1.6888,0.354,Up
599,105,2003,0.354,1.469,-0.376,0.183,1.957,1.6625,0.472,Up
600,106,2003,0.472,0.354,1.469,-0.376,0.183,1.4502,1.511,Up
601,107,2003,1.511,0.472,0.354,1.469,-0.376,1.6187,0.395,Up
602,108,2003,0.395,1.511,0.472,0.354,1.469,1.6931,-0.24,Down
603,109,2003,-0.24,0.395,1.511,0.472,0.354,1.8372,-1.198,Down
604,110,2003,-1.198,-0.24,0.395,1.511,0.472,1.307,0.913,Up
605,111,2003,0.913,-1.198,-0.24,0.395,1.511,1.2754,1.283,Up
606,112,2003,1.283,0.913,-1.198,-0.24,0.395,1.52,0.103,Up
607,113,2003,0.103,1.283,0.913,-1.198,-0.24,1.5531,-0.991,Down
608,114,2003,-0.991,0.103,1.283,0.913,-1.198,1.2716,2.238,Up
609,115,2003,2.238,-0.991,0.103,1.283,0.913,1.3459,0.091,Up
610,116,2003,0.091,2.238,-0.991,0.103,1.283,1.4797,-0.155,Down
611,117,2003,-0.155,0.091,2.238,-0.991,0.103,1.4889,-1.524,Down
612,118,2003,-1.524,-0.155,0.091,2.238,-0.991,1.5301,0.1,Up
613,119,2003,0.1,-1.524,-0.155,0.091,2.238,1.698,-1.411,Down
614,120,2003,-1.411,0.1,-1.524,-0.155,0.091,1.3981,0.184,Up
615,121,2003,0.184,-1.411,0.1,-1.524,-0.155,1.3883,-0.827,Down
616,122,2003,-0.827,0.184,-1.411,0.1,-1.524,1.4592,1.077,Up
617,123,2003,1.077,-0.827,0.184,-1.411,0.1,1.3874,-0.974,Down
618,124,2003,-0.974,1.077,-0.827,0.184,-1.411,1.2678,-0.176,Down
619,125,2003,-0.176,-0.974,1.077,-0.827,0.184,1.5872,0.802,Up
620,126,2003,0.802,-0.176,-0.974,1.077,-0.827,1.4602,1.164,Up
621,127,2003,1.164,0.802,-0.176,-0.974,1.077,1.5193,-0.81,Down
622,128,2003,-0.81,1.164,0.802,-0.176,-0.974,0.7759,1.899,Up
623,129,2003,1.899,-0.81,1.164,0.802,-0.176,1.4291,0.34,Up
624,130,2003,0.34,1.899,-0.81,1.164,0.802,1.5657,-0.559,Down
625,131,2003,-0.559,0.34,1.899,-0.81,1.164,1.618,-1.348,Down
626,132,2003,-1.348,-0.559,0.34,1.899,-0.81,1.4657,0.955,Up
627,133,2003,0.955,-1.348,-0.559,0.34,1.899,1.2127,0.573,Up
628,134,2003,0.573,0.955,-1.348,-0.559,0.34,1.4489,-0.343,Down
629,135,2003,-0.343,0.573,0.955,-1.348,-0.559,1.5186,-0.633,Down
630,136,2003,-0.633,-0.343,0.573,0.955,-1.348,1.662,-1.243,Down
631,137,2003,-1.243,-0.633,-0.343,0.573,0.955,1.6614,1.181,Up
632,138,2003,1.181,-1.243,-0.633,-0.343,0.573,1.3652,-1.462,Down
633,139,2003,-1.462,1.181,-1.243,-0.633,-0.343,1.2542,0.951,Up
634,140,2003,0.951,-1.462,1.181,-1.243,-0.633,1.4397,0.051,Up
635,141,2003,0.051,0.951,-1.462,1.181,-1.243,1.3627,-0.709,Down
636,142,2003,-0.709,0.051,0.951,-1.462,1.181,1.559,1.74,Up
637,143,2003,1.74,-0.709,0.051,0.951,-1.462,1.3975,-0.216,Down
638,144,2003,-0.216,1.74,-0.709,0.051,0.951,1.3286,-0.727,Down
639,145,2003,-0.727,-0.216,1.74,-0.709,0.051,1.5089,-0.181,Down
640,146,2003,-0.181,-0.727,-0.216,1.74,-0.709,1.3919,0.286,Up
641,147,2003,0.286,-0.181,-0.727,-0.216,1.74,1.608,-1.026,Down
642,148,2003,-1.026,0.286,-0.181,-0.727,-0.216,1.3906,0.272,Up
643,149,2003,0.272,-1.026,0.286,-0.181,-0.727,1.3187,-1.766,Down
644,150,2003,-1.766,0.272,-1.026,0.286,-0.181,1.3517,0.168,Up
645,151,2003,0.168,-1.766,0.272,-1.026,0.286,1.491,0.728,Up
646,152,2003,0.728,0.168,-1.766,0.272,-1.026,1.3893,0.356,Up
647,153,2003,0.356,0.728,0.168,-1.766,0.272,1.0866,0.307,Up
648,154,2003,0.307,0.356,0.728,0.168,-1.766,1.0222,0.995,Up
649,155,2003,0.995,0.307,0.356,0.728,0.168,1.1323,-0.638,Down
650,156,2003,-0.638,0.995,0.307,0.356,0.728,1.2088,0.659,Up
651,157,2003,0.659,-0.638,0.995,0.307,0.356,1.1868,0.016,Up
652,158,2003,0.016,0.659,-0.638,0.995,0.307,0.63637,0.916,Up
653,159,2003,0.916,0.016,0.659,-0.638,0.995,1.1276,0.261,Up
654,160,2003,0.261,0.916,0.016,0.659,-0.638,1.3006,-0.205,Down
655,161,2003,-0.205,0.261,0.916,0.016,0.659,1.2108,0.297,Up
656,162,2003,0.297,-0.205,0.261,0.916,0.016,1.4071,-1.018,Down
657,163,2003,-1.018,0.297,-0.205,0.261,0.916,1.3089,0.065,Up
658,164,2003,0.065,-1.018,0.297,-0.205,0.261,0.9717,0.304,Up
659,165,2003,0.304,0.065,-1.018,0.297,-0.205,1.1787,0.006,Up
660,166,2003,0.006,0.304,0.065,-1.018,0.297,1.0514,0.607,Up
661,167,2003,0.607,0.006,0.304,0.065,-1.018,1.1652,0.516,Up
662,168,2003,0.516,0.607,0.006,0.304,0.065,0.9451,1.387,Up
663,169,2003,1.387,0.516,0.607,0.006,0.304,1.4705,0.419,Up
